time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration
2024-01-01,11.3,14.8,8.8,0.0,34956.35
2024-01-02,11.6,18.4,4.8,0.9,34982.11
2024-01-03,13.0,18.8,9.4,0.0,34464.38
2024-01-04,10.2,14.7,3.8,0.0,35040.16
2024-01-05,12.3,20.1,4.7,0.0,35050.47
2024-01-06,14.0,21.0,8.4,0.0,35039.76
2024-01-07,11.9,16.4,8.9,0.0,32426.91
2024-01-08,11.6,15.8,8.1,5.8,16752.85
2024-01-09,13.1,16.5,10.4,2.1,2056.92
2024-01-10,13.1,20.5,9.1,0.0,33021.32
2024-01-11,10.4,15.2,7.6,0.0,28176.11
2024-01-12,11.0,18.8,4.8,0.0,35010.46
2024-01-13,12.6,20.8,7.6,0.0,35011.95
2024-01-14,13.9,22.0,6.5,0.0,35015.21
2024-01-15,12.3,17.7,7.8,0.0,32003.89
2024-01-16,11.6,16.6,7.9,0.0,32417.76
2024-01-17,13.7,21.6,6.1,0.0,35034.52
2024-01-18,16.7,24.2,11.4,0.0,35044.05
2024-01-19,16.0,20.1,14.3,0.0,19598.2
2024-01-20,16.1,20.5,13.6,0.5,19305.71
2024-01-21,12.5,13.9,11.2,0.6,0.0
2024-01-22,8.0,10.7,3.8,5.6,0.0
2024-01-23,4.7,9.9,2.7,5.1,11183.85
2024-01-24,4.6,10.4,-1.0,0.0,31532.05
2024-01-25,7.4,12.1,2.6,0.0,28952.33
2024-01-26,7.8,13.2,2.2,0.0,35239.9
2024-01-27,8.8,11.9,6.8,0.0,12169.46
2024-01-28,9.5,14.1,6.9,0.0,18510.35
2024-01-29,10.7,16.5,4.9,0.2,23169.26
2024-01-30,14.0,19.6,10.5,0.2,30234.22
2024-01-31,15.6,23.5,10.9,0.0,25199.6
2024-02-01,19.0,25.0,14.5,0.5,25726.25
2024-02-02,13.0,15.5,11.3,1.9,0.0
2024-02-03,14.0,19.9,11.1,0.0,22865.91
2024-02-04,13.4,15.6,11.6,4.7,0.0
2024-02-05,12.1,16.6,8.4,0.0,26496.59
2024-02-06,10.1,12.6,8.8,0.0,2646.64
2024-02-07,8.4,9.9,7.6,25.7,0.0
2024-02-08,7.5,8.6,5.9,3.2,0.0
2024-02-09,8.8,12.6,6.5,0.5,976.9
2024-02-10,9.2,15.6,3.8,0.0,36755.67
2024-02-11,10.7,18.5,4.1,0.0,37464.75
2024-02-12,11.2,17.9,5.6,0.0,37538.46
2024-02-13,13.6,20.7,6.7,0.0,37476.4
2024-02-14,15.8,23.9,8.4,0.0,37532.12
2024-02-15,17.4,25.1,12.6,3.0,36367.49
2024-02-16,10.7,13.9,8.1,0.7,14578.12
2024-02-17,12.5,20.6,7.2,0.0,37948.46
2024-02-18,16.8,27.0,10.7,0.0,34008.88
2024-02-19,20.6,27.8,15.4,0.0,26449.14
2024-02-20,20.4,29.0,15.2,0.0,33173.71
2024-02-21,21.9,30.6,16.5,0.0,34461.73
2024-02-22,14.0,19.2,10.5,2.0,73.73
2024-02-23,10.8,12.9,9.6,1.2,0.0
2024-02-24,11.0,14.1,9.3,3.4,576.55
2024-02-25,10.7,12.2,8.8,3.0,649.89
2024-02-26,8.5,9.9,7.5,5.4,0.0
2024-02-27,9.6,13.2,7.8,0.8,3567.21
2024-02-28,11.3,15.8,8.9,0.3,19170.28
2024-02-29,12.4,16.7,9.9,19.2,5834.42
2024-03-01,9.6,12.6,7.3,1.8,694.16
2024-03-02,8.1,11.9,4.7,0.0,29565.57
2024-03-03,9.2,14.4,3.7,0.0,38590.67
2024-03-04,14.7,22.6,8.6,0.4,35995.02
2024-03-05,20.4,28.4,14.9,0.8,30759.04
2024-03-06,15.3,18.5,11.9,8.7,5424.86
2024-03-07,12.2,17.0,9.2,2.2,27282.62
2024-03-08,11.5,17.0,7.6,0.0,38756.23
2024-03-09,9.1,10.9,6.2,2.8,6369.22
2024-03-10,11.7,16.4,7.2,1.4,36464.77
2024-03-11,12.4,14.9,9.9,14.7,0.0
2024-03-12,14.1,21.0,7.7,0.0,38983.69
2024-03-13,12.6,16.4,9.7,0.0,13905.7
